[2025-05-25 11:46:50,753] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,839] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:50,903] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,003] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,121] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,199] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,276] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,359] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,439] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,513] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,603] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,692] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,768] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,846] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,919] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:51,997] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,079] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,163] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,229] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,333] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,402] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,469] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,555] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,632] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,713] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,799] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,864] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:52,947] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,055] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,131] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,248] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,343] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,434] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,545] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,641] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,730] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:53,824] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,043] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,116] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,181] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,260] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,330] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,419] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,520] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,603] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,677] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,737] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,820] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,908] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:54,980] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,064] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,136] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,224] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,304] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,375] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,464] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,535] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,619] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,709] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,786] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,858] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,942] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:55,996] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,064] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,136] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,225] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,304] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,386] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,474] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,547] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,620] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,714] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,787] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,870] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:56,942] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,037] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,119] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,196] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,280] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,342] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,443] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,509] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,592] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,678] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,758] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,840] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:57,920] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,003] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,082] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,159] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,243] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,325] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,408] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,489] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,567] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,632] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,720] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,792] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:58,953] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,026] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,106] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,175] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,259] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,344] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,420] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,512] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,586] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,664] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,737] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,825] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:59,907] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,001] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,077] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,160] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,228] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,308] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,381] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,476] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,552] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,632] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,708] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,793] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,864] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:00,954] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,030] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,115] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,196] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,281] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,348] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,420] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,509] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,587] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,670] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,750] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,836] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,904] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:01,969] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,037] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,117] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,195] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,277] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,356] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,436] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,510] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,595] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,682] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,757] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,826] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,927] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:02,998] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,070] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,159] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,226] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,315] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,397] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,496] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:47:03,586] [ERROR] Error Insert to DB read of closed file
